,index,Artist Name,Title of Song
0,7465,J Balvin ,Azul
1,4237,Omarion ,I'm Up
2,10472,Sylvan Esso ,Radio
3,2607,Morgan Wallen ,One Thing At A Time
4,9840,Zara Larsson ,Don't Worry Bout Me
5,1777,Hailee Steinfeld ,Capital Letters
6,9564,Taylor Swift ,willow  90's trend remix
7,8881,Disclosure ,Birthday
8,2492,Kanye West ,Wouldn't Leave
9,7297,Gunna ,life of sin
10,2347,Chris Brown ,Back To Sleep
11,10762,Brothers Osborne ,Stay A Little Longer
12,2190,Taylor Swift ,tolerate it
13,10556,The Beatles ,Ticket To Ride  Remastered
14,1780,Kanye West ,Ultralight Beam
15,10548,Eve ,Let Me Blow Ya Mind
16,6207,Lil Baby ,Social Distancing
17,1627,Ty Dolla $ign ,Saved
18,1034,MØ ,Final Song
19,7028,The Kid LAROI ,Fade Away
20,7088,The,Dream  That's My Shit
21,5537,Migos ,Big On Big
22,10457,D'Angelo ,Prayer
23,9771,Zara Larsson ,Talk About Love
24,9575,Eminem ,Venom  Remix
25,6348,Justin Timberlake ,Higher Higher
26,5738,Khalid ,Skyline
27,4259,Pusha T ,Neck & Wrist
28,1309,Bad Bunny ,Otro Atardecer
29,9820,ZAYN ,Entertainer
30,4135,Porky Slim ,Space Legend
31,5981,Tame Impala ,Tomorrow's Dust
32,8560,The Cranberries ,Linger
33,2404,Diplo ,Lonely
34,1193,Kendrick Lamar ,XXX. FEAT. U2.
35,8485,Shawn Mendes ,Song For No One
36,9692,Nicki Minaj ,Kill Da DJ
37,6780,Logic ,Upgrade
38,3890,Rauw Alejandro ,LOKERA
39,10787,Sam Smith ,Stay With Me  Darkchild Version
40,10389,Sigrid ,Don't Kill My Vibe
41,2642,Kanye West ,Jonah
42,10820,Creedence Clearwater Revival ,Have You Ever Seen The Rain
43,2695,Major Lazer ,Powerful
44,3984,DJ Snake ,Enzo
45,9705,Logic ,Perfect (Remix)
46,10224,Pentatonix ,Sleigh Ride
47,8681,6LACK ,ATL Freestyle
48,2816,Jeremih ,Pass Dat
49,7006,Marvin Divine ,Barely Legal 2021
50,1339,Miley Cyrus ,Party In The U.S.A.
51,8313,Nipsey Hussle ,Fuck Donald Trump
52,6527,Juice WRLD ,I'll Be Fine
53,8870,BTS ,Dynamite  Instrumental
54,3573,Glades ,Do Right
55,4479,Kygo ,I'll Wait
56,4735,Dreamville ,Wells Fargo
57,9709,Denzel Curry ,DIET_
58,1313,John Lennon ,Happy Xmas (War Is Over)  Remastered
59,6566,Michael Ray ,Kiss You In The Morning
60,2002,Clinton Kane ,I GUESS I'M IN LOVE
61,413,Playboi Carti ,Shoota
62,2494,Nick Jonas ,Levels
63,5911,Morgan Wallen ,Heartless  Wallen Album Mix
64,9696,BTS ,Trivia 承 : Love
65,2731,JID ,Surround Sound
66,5604,Screamin' Jay Hawkins ,I Put a Spell on You
67,5550,Gunna ,too easy (Remix)
68,7754,Lil Tecca ,IDK
69,4215,Dylan Scott ,My Girl
70,7120,Wiz Khalifa ,Ocean
71,1324,Nicki Minaj ,Bed
72,1163,Ed Sheeran ,South of the Border
73,923,ERNEST ,Flower Shops
74,9021,YoungBoy Never Broke Again ,Shadows
75,187,Young Thug ,The London
76,7532,YoungBoy Never Broke Again ,The Last Backyard...
77,3365,Disney Characters ,This Is Halloween
78,5134,Machine Gun Kelly ,lonely
79,7075,Maroon 5 ,Whiskey
80,10680,Tinashe ,Ride Of Your Life
81,3481,Yo Gotti ,Law
82,8661,Chance the Rapper ,Child of God
83,6318,Ugly God ,Stop Smoking Black & Milds
84,7492,Trippie Redd ,Everything BoZ
85,5740,KONGOS ,Come with Me Now
86,10521,Coldplay ,Clocks
87,6989,Lil Baby ,Shiest Talk
88,2713,Camila Cabello ,Easy
89,5979,Taylor Swift ,New Year’s Day
90,9039,$uicideboy$ ,Nicotine Patches
91,2202,Drake ,That’s How You Feel
92,4268,Kanye West ,Clique
93,4027,Meek Mill ,Dangerous
94,2858,Bad Bunny ,Pero Ya No
95,7376,Lil Baby ,Danger
96,1210,Vince Guaraldi Trio ,O Tannenbaum
97,9814,Rick Ross ,Outlawz
98,6952,Kehlani ,Bad News
99,8900,Lil Skies ,Through The Motions
100,7461,NAV ,Reckless Intro
101,571,Selena Gomez ,Back To You
102,8946,Trippie Redd ,I Got You (ft. Busta Rhymes)
103,5405,YG ,BULLETPROOF
104,7846,2 Chainz ,Quarantine Thick
105,4709,$uicideboy$ ,Fucking Your Culture
