Artist Name,Title of Song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
J Balvin ,Azul,2lCkncy6bIB0LTMT7kvrD1,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018
Omarion ,I'm Up,1hlwA8qvXx0Bl6iYuDbIuD,0.793,0.505,6,-7.061,0,0.138,0.204,0.0,0.0413,0.704,97.998
Sylvan Esso ,Radio,0idjTHGhGRBdWTmsalq3tF,0.557,0.895,0,-6.547,1,0.0329,0.642,0.0186,0.254,0.591,119.993
Morgan Wallen ,One Thing At A Time,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971
Zara Larsson ,Don't Worry Bout Me,507tQXutCPYNFkpOq8tmKF,0.752,0.706,5,-6.274,1,0.0636,0.0797,0.000752,0.129,0.33,125.041
Hailee Steinfeld ,Capital Letters,6l0Ky2PycJV1Bz88kFeVGL,0.661,0.814,0,-5.529,1,0.0759,0.0337,8.27e-06,0.0518,0.459,99.963
Taylor Swift ,willow  90's trend remix,77p4fRpoeiZMtUy3P9kN21,0.6,0.603,7,-8.696,1,0.0741,0.313,0.0,0.0872,0.379,168.085
Disclosure ,Birthday,4Sh8bgQTdqKXnSl73SX6BE,0.611,0.867,5,-9.114,0,0.0948,0.00123,0.173,0.127,0.768,130.99
Kanye West ,Wouldn't Leave,1nGoy0cEj0extAwXYNYTWd,0.556,0.432,3,-8.551,1,0.545,0.495,0.0,0.308,0.352,164.235
Gunna ,life of sin,54o0kiaqwj3yBKYHw4E7FR,0.724,0.549,1,-7.294,1,0.262,0.0376,0.0,0.45,0.175,156.186
Chris Brown ,Back To Sleep,6dlpABcXrQKRU9G00i6Zba,0.647,0.646,9,-5.483,0,0.243,0.0424,0.0,0.0888,0.721,92.981
Brothers Osborne ,Stay A Little Longer,23EkfwUdsRIz7jAZIcC8gb,0.557,0.886,6,-5.356,1,0.0302,0.0377,0.108,0.163,0.545,96.989
Taylor Swift ,tolerate it,0PurA4JVJ8YQgSVopY8fn6,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952
The Beatles ,Ticket To Ride  Remastered,7CZiDzGVjUssMSOXrDNYHL,0.519,0.85,9,-6.777,1,0.0678,0.0457,0.0,0.233,0.749,123.419
Kanye West ,Ultralight Beam,1eQBEelI2NCy7AUTerX0KS,0.592,0.403,0,-8.768,0,0.414,0.62,0.0,0.54,0.391,105.169
Eve ,Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032
Lil Baby ,Social Distancing,1RrQK0BIyxZaOooNDVSEaZ,0.849,0.64,5,-5.15,1,0.196,0.0471,0.0,0.321,0.36,126.005
Ty Dolla $ign ,Saved,2ESNJZExcQw1BAmmA8Ct3j,0.771,0.72,1,-5.671,1,0.103,0.258,0.0,0.137,0.794,103.092
MØ ,Final Song,4qqArAiTPueDxIp7cf87h7,0.695,0.672,1,-6.109,0,0.0345,0.014,7.95e-05,0.0756,0.245,104.988
The Kid LAROI ,Fade Away,32ypPhtgTaETvFn3ZIHXTW,0.726,0.414,9,-12.296,0,0.269,0.406,0.0,0.0713,0.47,150.009
The,Dream  That's My Shit,1QkjHxSRvYm0cgfEgdpDe7,0.683,0.604,0,-8.564,1,0.0494,0.167,0.0541,0.107,0.556,178.015
Migos ,Big On Big,2TESenfLqUMufqoUUW8LtK,0.723,0.768,0,-5.469,0,0.0586,0.145,0.0,0.172,0.526,142.022
D'Angelo ,Prayer,6YOM2xqlJEdy35htURX7DS,0.69,0.602,1,-8.43,1,0.0887,0.0588,0.0326,0.0649,0.791,82.85
Zara Larsson ,Talk About Love,1qA9TnEJ2sUub9QkN9K3Mv,0.562,0.623,11,-6.151,1,0.16,0.0597,0.0,0.472,0.712,151.825
Eminem ,Venom  Remix,6kUaRtXf19fu5IQWjmwsEJ,0.763,0.827,7,-3.927,1,0.244,0.0232,0.0,0.266,0.71,135.986
Justin Timberlake ,Higher Higher,7GfhZZq8plOVTeqsDMbftc,0.658,0.62,6,-6.634,0,0.0517,0.149,1.22e-05,0.157,0.522,89.955
Khalid ,Skyline,1QxIFMs4M8qd5cbJJu80v4,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996
Pusha T ,Neck & Wrist,7kQJCw0ZkvHgfJqRwPblmG,0.625,0.542,9,-4.365,1,0.266,0.0223,0.0,0.377,0.328,152.403
Bad Bunny ,Otro Atardecer,0E0DRHf5PfMeor0ZCwB3oT,0.777,0.595,2,-6.79,1,0.0375,0.59,0.00139,0.0669,0.546,108.02
ZAYN ,Entertainer,4By48hpAtUx7F7F1yxvwvm,0.697,0.568,5,-8.017,1,0.0369,0.475,2.51e-05,0.0922,0.502,153.931
Porky Slim ,Space Legend,382enNLldIur2LBDPlm5mm,0.588,0.318,6,-13.121,0,0.0395,0.142,0.0451,0.16,0.0368,110.036
Tame Impala ,Tomorrow's Dust,666PdikRnUzdvjT9p5wWND,0.616,0.804,0,-5.568,1,0.0427,0.0124,0.0998,0.553,0.627,99.002
The Cranberries ,Linger,0gEyKnHvgkrkBM6fbeHdwK,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845
